Table 5 — CLTD για Επίπεδες Οροφές (Ψυκτικά Φορτία)
Πηγή: ASHRAE Handbook of Fundamentals 1989 / GRP-158 | Πίνακας καθηγητή ΑΠΘ
Αρχικές τιμές σε °F — μετατράπηκαν σε °C (÷1.8) | 40°N | 21 Ιουλίου | Ti_ref=25.5°C | To_mean_ref=29.4°C | To_max_ref=35°C | ΔT_ημερ_ref=11.6°C
CLTD_corr = (CLTD × K × LM) + (25.5 - Ti) + (To_mean - 29.4) | K_roof: 1.0=σκούρα / 0.5=ανοιχτόχρωμη | f: 1.0=χωρίς_ροή / 0.75=με_ροή_αέρα
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ΧΩΡΙΣ ΨΕΥΔΟΡΟΦΗ (Without Suspended Ceiling),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Τύπος,Περιγραφή,Μάζα_kg_m2,U_W_m2K,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,Ώρα_Max,Min_°C,Max_°C,Diff_°C
1,Steel sheet + 25.4mm insulation (or 50.8mm),34(39),1.209(0.704),0.0,-0.6,-1.1,-1.1,-1.7,-1.1,1.7,6.1,10.6,15.0,18.9,22.2,23.9,24.4,23.9,21.7,18.3,13.9,9.4,5.6,3.9,2.8,1.7,0.6,14,-1.7,24.4,26.1
2,25.4mm wood with 25.4mm insulation,39,0.965,1.7,1.1,0.0,-0.6,-1.1,-1.1,-0.6,1.1,4.4,8.3,12.2,16.1,19.4,21.7,22.8,22.8,21.7,19.4,16.1,11.7,8.3,6.1,4.4,2.8,15,-1.1,22.8,23.9
3,101.6mm lightweight concrete,88,1.209,2.8,1.7,0.6,0.0,-0.6,-1.1,-1.1,0.6,2.8,6.1,10.0,13.9,17.2,20.0,21.7,22.2,22.2,20.6,17.8,13.9,10.6,7.8,5.6,3.9,16,-1.1,22.2,23.3
4,50.8mm h.w. concrete + 25.4mm insulation (or 50.8mm),142,1.170(0.693),3.9,2.8,1.7,1.1,0.0,-0.6,0.0,1.1,3.3,6.1,9.4,12.8,15.6,18.3,20.0,20.6,20.6,18.9,16.7,13.9,11.1,8.9,6.7,5.6,16,-0.6,20.6,21.1
5,25.4mm wood with 50.8mm insulation,44,0.619,1.1,0.0,-1.1,-1.7,-2.2,-2.2,-2.2,-1.1,1.7,5.0,8.3,12.2,15.0,17.8,19.4,20.0,19.4,17.8,15.0,11.1,8.9,5.6,3.3,1.7,16,-2.2,20.0,22.2
6,152.4mm lightweight concrete,117,0.897,6.7,5.6,3.9,2.8,1.7,1.1,0.6,0.0,1.1,2.2,4.4,7.2,10.0,13.3,16.1,18.3,19.4,20.0,19.4,17.8,15.6,13.3,10.6,8.9,18,0.0,20.0,20.0
7,63.5mm wood with 25.4mm insulation,63,0.738,8.9,7.2,6.1,5.0,3.9,3.3,2.2,1.7,2.2,2.8,4.4,6.1,8.3,10.6,12.8,15.0,16.1,17.2,17.2,16.7,15.0,13.9,12.2,10.6,18,1.7,17.2,15.6
8,203.2mm lightweight concrete,151,0.715,11.1,9.4,7.8,6.7,5.6,4.4,3.3,2.8,2.2,2.2,2.8,3.9,6.1,7.8,10.0,12.2,13.9,15.6,16.7,16.7,16.1,15.0,13.9,12.2,19,2.2,16.7,14.4
9,101.6mm h.w. concrete + 25.4mm insulation (or 50.8mm),254(254),1.136(0.681),7.8,6.7,5.6,4.4,3.9,2.8,2.2,2.2,3.3,4.4,6.1,8.3,10.0,12.2,13.9,15.6,16.1,16.7,16.1,15.0,13.3,11.7,10.6,8.9,18,2.2,16.7,14.4
10,63.5mm wood with 50.8mm insulation,63,0.528,10.0,8.3,7.2,6.1,5.0,4.4,3.3,2.8,2.8,2.8,3.9,5.6,7.2,9.4,11.7,13.3,15.0,15.6,16.1,16.1,15.0,13.9,12.8,11.1,19,2.8,16.1,13.3
