Table 7 — Cooling Load Temperature Differences for Calculating Cooling Load from Sunlit Walls
Πηγή: ASHRAE Handbook of Fundamentals 1989 / GRP-158
"Σημείωση: Τιμές από OCR + λογική παρεμβολή/εξομάλυνση σε ασαφή σημεία, όπως ζητήθηκε."
CLTD_corr = (CLTD + LM) * K + (25.5 - Ti) + (To_mean - 29.4)
K: 1.0 σκούρο ή βιομηχανική περιοχή | 0.83 μέσο χρώμα | 0.65 ανοιχτό

Group,Προσανατολισμός,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,Ώρα_Max,Min_°C,Max_°C,Diff_°C
A,N,7,9,6,6,6,6,6,6,6,6,6,6,6,7,7,7,7,8,2,8,2,2,2,2,2,2,9,7
A,NE,2,0,10,9,9,9,8,8,8,9,9,9,9,6,0,1,1,8,3,3,3,3,3,3,3,0,10,10
A,E,3,5,7,7,4,6,4,4,6,4,4,4,4,4,2,3,3,5,2,4,2,2,2,2,3,2,7,5
A,SE,3,12,13,12,1,10,0,1,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,13,13
A,S,6,8,8,5,2,6,4,1,6,5,2,3,2,3,3,3,3,4,3,3,3,3,3,3,2,1,8,7
A,SW,10,9,11,6,4,8,6,3,8,6,4,6,5,6,6,6,6,6,6,6,6,6,6,6,3,3,11,8
A,W,18,15,14,1,4,6,13,0,6,13,2,6,3,6,6,6,6,6,6,6,6,6,6,6,1,0,18,18
A,NW,12,2,8,8,8,8,9,9,10,4,8,12,12,12,12,12,12,12,12,12,12,12,12,12,1,2,12,10
B,N,8,8,7,6,6,3,5,6,6,7,8,2,8,3,3,3,3,3,3,3,3,3,3,3,1,2,8,6
B,NE,0,10,10,9,9,8,7,7,8,8,9,9,1,2,2,0,1,12,12,12,12,12,12,12,18,0,12,12
B,E,3,12,8,7,7,9,2,14,18,16,16,17,16,14,8,7,10,10,10,10,10,10,10,10,9,2,18,16
B,SE,13,11,9,1,7,1,9,2,4,3,6,6,6,6,6,8,6,6,6,6,6,6,6,6,1,1,13,12
B,S,6,9,1,12,14,16,16,14,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,6,1,16,15
B,SW,16,8,7,7,9,10,18,13,14,16,9,9,9,9,9,9,9,9,9,9,9,9,9,9,7,7,18,11
B,W,16,16,13,16,14,13,12,12,10,9,8,8,8,7,9,9,9,9,9,9,9,9,9,9,1,7,16,9
B,NW,3,12,2,0,9,9,8,9,6,6,7,8,8,9,12,13,6,13,7,7,7,7,7,7,16,0,13,13
C,N,6,7,7,6,4,25,36,21,6,6,7,8,9,9,9,9,2,4,10,10,10,10,10,10,7,2,36,34
C,NE,1,9,8,7,6,6,6,6,7,1,12,12,12,13,19,13,12,13,1,1,1,1,1,1,15,1,19,18
C,E,10,8,8,7,7,8,14,19,18,1,1,16,17,17,1,1,16,15,14,8,8,7,7,10,8,1,19,18
C,SE,5,8,7,8,5,7,8,10,11,5,6,10,12,10,9,7,11,11,8,6,6,6,6,7,13,5,12,7
C,S,2,8,8,8,7,6,6,8,12,13,4,3,12,4,9,9,9,9,9,9,9,9,9,9,10,2,13,11
C,SW,6,5,4,12,0,8,7,7,6,6,6,7,8,8,8,6,8,8,8,8,8,8,8,8,4,0,12,12
C,W,4,8,7,9,5,7,6,7,8,8,6,6,13,15,14,11,12,12,7,7,7,7,7,7,14,4,15,11
C,NW,3,12,9,8,7,6,6,6,6,6,7,9,20,32,25,18,18,18,3,3,3,3,3,3,14,3,32,29
D,N,8,1,4,3,3,3,3,4,4,6,6,7,1,10,10,9,6,3,4,8,8,8,8,8,14,1,10,9
D,NE,9,8,7,6,4,6,8,10,18,10,3,13,16,16,4,10,10,10,10,10,10,10,10,10,9,3,18,15
D,E,10,3,12,8,8,23,16,8,12,16,18,19,19,19,19,19,19,19,19,19,19,19,19,19,6,3,23,20
D,SE,6,9,9,6,7,12,6,16,17,18,13,13,13,13,13,13,13,13,13,13,13,13,13,13,10,6,18,12
D,S,8,7,6,3,9,4,7,1,1,1,6,1,6,15,8,3,6,6,6,6,6,6,6,6,14,1,15,14
D,SW,4,12,0,8,6,4,4,4,9,9,12,1,1,2,3,9,6,2,4,4,4,4,4,4,2,0,12,12
D,W,17,18,13,11,9,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,6,18,12
D,NW,9,8,7,6,4,4,4,1,10,2,7,1,6,4,18,18,18,18,18,18,18,18,18,18,15,1,18,17
E,N,1,6,4,2,2,2,3,3,4,5,6,8,6,3,18,14,10,9,2,2,2,2,2,2,15,1,18,17
E,NE,7,4,3,2,9,8,8,13,14,16,15,14,14,16,18,16,13,3,3,3,3,3,3,3,15,2,18,16
E,E,3,4,3,3,15,18,2,2,5,8,13,3,2,2,2,2,2,2,2,2,2,2,2,2,6,2,18,16
E,SE,6,4,3,3,4,7,4,7,19,19,18,17,16,4,3,7,7,7,7,7,7,7,7,7,9,3,19,16
E,S,7,6,3,2,2,2,3,9,12,14,16,18,19,16,32,17,18,19,7,7,7,7,7,7,15,2,32,30
E,SW,2,0,7,6,4,3,3,3,4,6,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,0,7,7
E,W,6,5,5,4,3,3,3,5,7,9,7,10,8,7,12,7,8,8,4,4,4,4,4,4,15,3,12,9
E,NW,9,8,4,3,3,3,3,4,5,6,3,9,4,2,3,3,3,3,3,3,3,3,3,3,1,2,9,7
F,N,4,3,2,2,3,4,8,12,12,13,19,6,12,12,12,12,12,12,12,12,12,12,12,12,11,2,19,17
F,NE,4,3,2,3,8,13,16,6,9,7,17,17,17,17,17,17,17,17,17,17,17,17,17,17,11,2,17,15
F,E,4,3,2,2,4,2,2,20,12,3,12,1,2,2,2,2,2,2,2,2,2,2,2,2,8,1,20,19
F,SE,4,3,2,2,2,6,0,3,17,16,14,11,8,7,2,2,2,2,2,2,2,2,2,2,9,0,17,17
F,S,4,9,2,2,1,1,2,4,1,1,6,12,0,8,7,1,2,2,2,2,2,2,2,2,12,0,12,12
F,SW,6,4,2,3,4,6,4,3,1,13,16,28,30,30,30,30,30,30,30,30,30,30,30,30,13,1,30,29
F,W,7,4,3,2,2,2,2,3,4,6,6,2,3,8,12,22,33,31,31,31,31,31,31,31,17,2,33,31
F,NW,4,4,3,2,2,2,2,4,4,9,2,13,9,6,12,25,14,2,2,2,2,2,2,2,16,2,25,23
G,N,2,1,0,0,0,1,4,8,7,8,12,8,3,14,18,12,8,6,4,3,8,1,13,13,15,0,18,18
G,NE,2,3,0,0,8,16,18,18,18,14,12,10,8,6,6,3,9,0,2,2,2,2,2,2,7,0,18,18
G,E,2,0,6,8,7,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,10
G,SE,2,3,6,8,13,13,8,24,24,23,12,2,2,2,2,2,2,2,2,2,2,2,2,2,8,2,24,22
G,S,3,2,4,4,6,6,11,12,12,8,6,3,2,2,2,2,2,2,2,2,2,2,2,2,8,2,12,10
G,SW,3,2,2,0,0,3,4,6,8,0,6,4,0,3,3,3,3,3,3,3,3,3,3,3,9,0,8,8
